1,4,120.0,1.4,1.0,true
2,4,180.0,2.1,1.0,true
3,2,220.0,2.6,1.0,true
3,6,260.0,3.1,1.0,true
4,5,80.0,1.0,1.0,true
5,6,200.0,2.4,1.0,true
6,12,240.0,2.9,1.0,true
12,10,350.0,4.2,1.0,true
10,13,400.0,4.8,1.0,true
13,4,250.0,3.0,1.0,true
7,8,300.0,3.6,1.1,true
4,7,280.0,3.3,1.0,true
4,8,420.0,5.0,1.1,true
8,9,200.0,2.4,1.1,true
9,13,300.0,3.6,1.0,true
11,4,300.0,3.6,1.0,true
11,7,260.0,3.1,1.0,true
12,11,300.0,3.6,1.0,true
14,12,450.0,5.4,1.0,true
14,29,600.0,7.1,1.0,true
29,30,700.0,8.3,1.0,true
10,30,900.0,10.7,1.0,true
18,19,220.0,2.6,1.0,true
19,20,160.0,1.9,1.0,true
20,21,260.0,3.1,1.0,true
21,22,320.0,3.8,1.0,true
18,21,280.0,3.3,1.0,true
19,4,380.0,4.5,1.0,true
20,4,420.0,5.0,1.0,true
21,8,450.0,5.4,1.0,true
22,8,500.0,6.0,1.0,true
23,24,250.0,3.0,1.0,true
24,25,220.0,2.6,1.0,true
25,28,200.0,2.4,1.2,true
23,28,260.0,3.1,1.2,true
24,28,220.0,2.6,1.2,true
16,28,280.0,3.3,1.3,true
16,18,300.0,3.6,1.0,true
16,21,350.0,4.2,1.0,true
23,26,300.0,3.6,1.0,true
26,27,200.0,2.4,1.0,true
27,28,180.0,2.1,1.2,true
17,18,300.0,3.6,1.0,true
17,19,350.0,4.2,1.0,true
15,17,500.0,6.0,1.0,true
15,23,650.0,7.7,1.0,true
15,29,1200.0,14.3,1.0,true
5,18,360.0,4.3,1.0,true
6,19,420.0,5.0,1.0,true
9,18,500.0,6.0,1.0,true
13,18,480.0,5.7,1.0,true
7,19,380.0,4.5,1.0,true
8,16,420.0,5.0,1.2,true
21,28,450.0,5.4,1.2,true
22,16,380.0,4.5,1.1,true
24,16,400.0,4.8,1.1,true
23,22,600.0,7.1,1.0,true
24,22,650.0,7.7,1.0,true
25,22,700.0,8.3,1.0,true
8,7,280.0,3.3,1.1,false
4,2,180.0,2.1,1.0,false
